"NAICS_Code","Industry","Emission_With_Margins","Quartile_Number","Emission_Level"
335210,Small Electrical Appliance Manufacturing,0.30000001192092896,2,High
337127,Institutional Furniture Manufacturing,0.29899999499320984,2,High
237310,"Highway, Street, and Bridge Construction",0.296999990940094,2,High
327991,Cut Stone and Stone Product Manufacturing,0.29600000381469727,2,High
333921,Elevator and Moving Stairway Manufacturing,0.29600000381469727,2,High
333922,Conveyor and Conveying Equipment Manufacturing,0.29600000381469727,2,High
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",0.29600000381469727,2,High
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",0.29600000381469727,2,High
337124,Metal Household Furniture Manufacturing,0.2939999997615814,2,High
337125,Household Furniture (except Wood and Metal) Manufacturing,0.2939999997615814,2,High
339940,Office Supplies (except Paper) Manufacturing,0.2919999957084656,2,High
336999,All Other Transportation Equipment Manufacturing,0.29100000858306885,2,High
722513,Limited-Service Restaurants,0.28700000047683716,2,High
323120,Support Activites for Printing,0.28600001335144043,2,High
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,0.2849999964237213,2,High
332321,Metal Window and Door Manufacturing,0.2840000092983246,2,High
332322,Sheet Metal Work Manufacturing,0.2840000092983246,2,High
332323,Ornamental and Architectural Metal Work Manufacturing,0.2840000092983246,2,High
335311,"Power, Distribution, and Specialty Transformer Manufacturing",0.2800000011920929,2,High
336111,Automobile Manufacturing,0.27900001406669617,2,High
332991,Ball and Roller Bearing Manufacturing,0.2770000100135803,2,High
236118,Residential Remodelers,0.2770000100135803,2,High
321113,Sawmills,0.27399998903274536,2,High
321114,Wood Preservation,0.27399998903274536,2,High
333995,Fluid Power Cylinder and Actuator Manufacturing,0.27399998903274536,2,High
333996,Fluid Power Pump and Motor Manufacturing,0.27399998903274536,2,High
333111,Farm Machinery and Equipment Manufacturing,0.2709999978542328,2,High
237990,Other Heavy and Civil Engineering Construction,0.27000001072883606,2,High
334413,Semiconductor and Related Device Manufacturing,0.26899999380111694,2,High
114111,Finfish Fishing,0.2669999897480011,2,High
114112,Shellfish Fishing,0.2669999897480011,2,High
114119,Other Marine Fishing,0.2669999897480011,2,High
114210,Hunting and Trapping,0.2669999897480011,2,High
333515,Cutting Tool and Machine Tool Accessory Manufacturing,0.26600000262260437,2,High
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,0.26600000262260437,2,High
333611,Turbine and Turbine Generator Set Units Manufacturing,0.2630000114440918,2,High
333517,Machine Tool Manufacturing,0.2630000114440918,2,High
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",0.2630000114440918,2,High
314910,Textile Bag and Canvas Mills,0.2630000114440918,2,High
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",0.2630000114440918,2,High
314999,All Other Miscellaneous Textile Product Mills,0.2630000114440918,2,High
336212,Truck Trailer Manufacturing,0.2619999945163727,2,High
335931,Current-Carrying Wiring Device Manufacturing,0.26100000739097595,2,High
335932,Noncurrent-Carrying Wiring Device Manufacturing,0.26100000739097595,2,High
333997,Scale and Balance Manufacturing,0.25999999046325684,2,High
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,0.25999999046325684,2,High
333992,Welding and Soldering Equipment Manufacturing,0.25999999046325684,2,High
325411,Medicinal and Botanical Manufacturing,0.25999999046325684,2,High
336214,Travel Trailer and Camper Manufacturing,0.25699999928474426,2,High
492110,Couriers and Express Delivery Services,0.25699999928474426,2,High
492210,Local Messengers and Local Delivery,0.25699999928474426,2,High
316110,Leather and Hide Tanning and Finishing,0.25600001215934753,2,High
316210,Footwear Manufacturing,0.25600001215934753,2,High
316992,Women's Handbag and Purse Manufacturing,0.25600001215934753,2,High
316998,All Other Leather Good and Allied Product Manufacturing,0.25600001215934753,2,High
236220,Commercial and Institutional Building Construction,0.25600001215934753,2,High
333613,Mechanical Power Transmission Equipment Manufacturing,0.25099998712539673,2,High
335121,Residential Electric Lighting Fixture Manufacturing,0.25,2,High
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",0.25,2,High
335129,Other Lighting Equipment Manufacturing,0.25,2,High
337121,Upholstered Household Furniture Manufacturing,0.24899999797344208,2,High
